url;txt;prix;surface;cp;type;pieces;chambres;date_vente;status
https://encheres-immo.com/annonce/va50263-vienne-38200-2337;Vente en cours VA50263 79 000 € Termine le 11/05/2026 à 13:00 Vienne - 38200 2 pièces 1 chambre;;;38200;Autre;2.0;1.0;11/05/2026;en_cours
https://encheres-immo.com/annonce/maison-avec-4-chambres-sous-sol-1600-m2-de-terrain-montlouis-sur-loire-37270-3231;Vente en cours Maison avec 4 chambres, sous sol, 1600 m2 de terrain 210 000 € Termine le 12/05/2026 à 00:00 Montlouis sur Loire - 37270 6 pièces 4 chambres;210000.0;;37270;Maison;6.0;4.0;12/05/2026;en_cours
https://encheres-immo.com/annonce/maison-de-campagne-avec-4-chambres-1645-m2-de-terrain-et-sa-grange-de-80-m2-pougny-58200-838;Vente en cours Maison de campagne avec 4 chambres, 1645 m² de terrain. 90 000 € Termine le 17/05/2026 à 11:00 POUGNY - 58200 5 pièces 4 chambres;90000.0;1645.0;58200;Maison;5.0;4.0;17/05/2026;en_cours
https://encheres-immo.com/annonce/pouilly-sur-loire-maison-ancienne-habitable-avec-fort-potentiel-pouilly-sur-loire-58150-1431;Vente en cours Pouilly sur Loire, maison ancienne, habitable avec fort potentiel. 40 000 € Termine le 17/05/2026 à 11:00 POUILLY-SUR-LOIRE - 58150 5 pièces 3 chambres;40000.0;;58150;Maison;5.0;3.0;17/05/2026;en_cours
https://encheres-immo.com/annonce/maison-ancienne-a-renover-sur-la-commune-de-tracy-proche-de-sancerre-tracy-sur-loire-58150-2176;Vente en cours Maison ancienne a rénover sur la commune de Tracy proche de Sancerre. 23 000 € Termine le 17/05/2026 à 11:00 TRACY SUR LOIRE - 58150 3 pièces 2 chambres;23000.0;;58150;Maison;3.0;2.0;17/05/2026;en_cours
https://encheres-immo.com/annonce/maison-mitoyenne-de-75-m2-a-chateauneuf-val-de-bargis-chateauneuf-val-de-bargis-58350-890;Vente en cours Maison mitoyenne de 75 m² à Chateauneuf Val de Bargis 20 000 € Termine le 17/05/2026 à 11:00 CHATEAUNEUF VAL DE BARGIS - 58350 3 pièces 2 chambres;20000.0;75.0;58350;Maison;3.0;2.0;17/05/2026;en_cours
https://encheres-immo.com/annonce/une-alternative-ideale-a-l-appartement-maison-de-ville-de-125-m2-5-chambres-garage-chambourcy-78240-4286;Vente en cours Une alternative idéale à l’appartement : Maison de ville de 125 m², 5 chambres, garage 360 000 € Termine le 26/05/2026 à 08:00 Chambourcy - 78240 6 pièces;360000.0;125.0;78240;Appartement;6.0;5.0;26/05/2026;en_cours
https://encheres-immo.com/annonce/vente-maison-de-village-aussillon-81200-2374;Vente en cours Vente maison de village 25 000 € Termine le 29/04/2029 à 21:00 Aussillon - 81200 2 pièces 1 chambre;25000.0;;81200;Maison;2.0;1.0;29/04/2029;en_cours
https://encheres-immo.com/annonce/maison-de-126-m2-a-moutiers-les-mauxfaits-moutiers-les-mauxfaits-85540-1630;Maison de 126 m² à Moutiers-les-Mauxfaits 200 000 € Débute le 11/05/2026 à 19:00 Moutiers-les-Mauxfaits - 85540 6 pièces 4 chambres;200000.0;126.0;85540;Maison;6.0;4.0;11/05/2026;future
https://encheres-immo.com/annonce/pau-secteur-nord-appartement-t3-69-m2-pau-64000-713;PAU- Secteur Nord appartement T3 69 m² 120 000 € Débute le 12/05/2026 à 18:00 PAU - 64000 3 pièces 2 chambres;120000.0;69.0;64000;Appartement;3.0;2.0;12/05/2026;future
https://encheres-immo.com/annonce/maison-d-exception-340-m2-%E2%80%93-construction-recente-2008-%E2%80%93-piscine-interieure-sous-veranda-%E2%80%93-terrain-1-500-m2-favrieux-78200-4908;Maison d’exception 340 m² – Construction récente (2008) – Piscine intérieure sous véranda – Terrain 1 500 m² 515 000 € Débute le 14/05/2026 à 18:00 Favrieux - 78200 10 pièces 5 chambres;515000.0;340.0;78200;Maison;10.0;5.0;14/05/2026;future
https://encheres-immo.com/annonce/villa-t5-plain-pied-108-m2-avec-piscine-et-terrain-divisible-%E2%80%93-saint-jean-port-de-bouc-port-de-bouc-13110-3766;Villa T5 plain-pied 108 m² avec piscine et terrain divisible – Saint-Jean Port-de-Bouc 430 000 € Débute le 14/05/2026 à 18:30 Port-de-bouc - 13110 4 pièces 3 chambres;430000.0;108.0;13110;Appartement;4.0;3.0;14/05/2026;future
https://encheres-immo.com/annonce/la-tour-de-st-felix-de-lodez-st-felix-de-lodez-34725-1321;"""LA TOUR"" DE ST FELIX DE LODEZ 170 000 € Débute le 14/05/2026 à 19:00 ST FELIX DE LODEZ - 34725 6 pièces 5 chambres";170000.0;;34725;Autre;6.0;5.0;14/05/2026;future
https://encheres-immo.com/annonce/appartement-traversant-103-m2-3-chambres-2e-etage-avec-ascenseur-loggia-ouest-villefranche-sur-saone-69400-4975;Appartement traversant 103 m2 3 chambres 2e étage avec ascenseur loggia ouest 200 000 € Débute le 14/05/2026 à 19:30 Villefranche-sur-Saône - 69400 5 pièces 3 chambres;200000.0;;69400;Appartement;5.0;3.0;14/05/2026;future
https://encheres-immo.com/annonce/maison-6p-mortcerf-avec-dependance-mortcerf-77163-1134;MAISON 6P MORTCERF AVEC DEPENDANCE 250 000 € Débute le 14/05/2026 à 19:45 MORTCERF - 77163 6 pièces 5 chambres;250000.0;;77163;Maison;6.0;5.0;14/05/2026;future
https://encheres-immo.com/annonce/magnifique-villa-a-muret-muret-31600-2583;Magnifique villa à Muret 479 000 € Débute le 15/05/2026 à 12:00 Muret - 31600 5 pièces 4 chambres;479000.0;;31600;Villa;5.0;4.0;15/05/2026;future
https://encheres-immo.com/annonce/belle-maison-a-saint-lys-saint-lys-31470-4792;Belle maison à Saint-Lys 280 000 € Débute le 15/05/2026 à 18:00 Saint-Lys - 31470 4 pièces 3 chambres;280000.0;;31470;Maison;4.0;3.0;15/05/2026;future
https://encheres-immo.com/annonce/demeure-a-castelginest-castelginest-31780-1890;Demeure à Castelginest 649 000 € Débute le 15/05/2026 à 18:00 Castelginest - 31780 7 pièces 4 chambres;649000.0;;31780;Autre;7.0;4.0;15/05/2026;future
